"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","Handover Success Rate (%)-N  ","Number  of Attempted handover","Number  of Successful handover"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2048]DH17036","0","0","0","100.000","64","64"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2048]DH17036","1","0","1","100.000","13","13"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2048]DH17036","2","0","2","100.000","42","42"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2051]DH17002","0","0","0","77.907","86","67"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2051]DH17002","1","0","1","77.778","18","14"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2051]DH17002","2","0","2","94.118","17","16"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2063]DH17052","0","0","0","100.000","2","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2063]DH17052","1","0","1","90.909","22","20"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2063]DH17052","2","0","2","99.492","394","392"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2064]DH17077","0","0","0","96.859","191","185"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2064]DH17077","1","0","1","99.359","156","155"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2064]DH17077","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2065]DH17090","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2065]DH17090","1","0","1","100.000","56","56"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2065]DH17090","2","0","2","100.000","4","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2071]DH17049","0","0","0","98.413","63","62"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2071]DH17049","1","0","1","100.000","52","52"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2071]DH17049","2","0","2","90.110","182","164"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2075]DH17082","0","0","0","100.000","23","23"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2075]DH17082","1","0","1","100.000","58","58"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2075]DH17082","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2078]DH17085","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2078]DH17085","1","0","1","100.000","56","56"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2078]DH17085","2","0","2","70.492","61","43"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2080]DH17070","0","0","0","100.000","201","201"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2080]DH17070","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2080]DH17070","2","0","2","94.681","94","89"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2084]DH17045","0","0","0","100.000","1","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2084]DH17045","1","0","1","92.857","42","39"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2084]DH17045","2","0","2","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2085]DH17046","0","0","0","100.000","34","34"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2085]DH17046","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2085]DH17046","2","0","2","100.000","20","20"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2086]DH17044","0","0","0","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2086]DH17044","1","0","1","100.000","10","10"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2086]DH17044","2","0","2","99.412","170","169"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2087]DH17081","0","0","0","98.413","63","62"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2087]DH17081","1","0","1","96.429","28","27"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2087]DH17081","2","0","2","90.909","11","10"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2088]DH17001","0","0","0","100.000","40","40"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2088]DH17001","1","0","1","100.000","108","108"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2088]DH17001","2","0","2","100.000","106","106"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2089]DH17003","0","0","0","100.000","193","193"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2089]DH17003","1","0","1","100.000","63","63"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2089]DH17003","2","0","2","100.000","43","43"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2090]DH17004","0","0","0","100.000","28","28"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2090]DH17004","1","0","1","100.000","3","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2090]DH17004","2","0","2","100.000","25","25"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2091]DH17008","0","0","0","98.592","71","70"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2091]DH17008","1","0","1","100.000","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2091]DH17008","2","0","2","100.000","44","44"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2093]DH17012","0","0","0","100.000","441","441"
