"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2048]DH17036","0","0","0","22","42","53","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2048]DH17036","1","0","1","12","1","11","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2048]DH17036","2","0","2","40","2","76","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2051]DH17002","0","0","0","67","0","13","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2051]DH17002","1","0","1","12","2","41","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2051]DH17002","2","0","2","11","5","94","47"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2063]DH17052","0","0","0","1","1","19","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2063]DH17052","1","0","1","16","4","22","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2063]DH17052","2","0","2","391","1","5","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2064]DH17077","0","0","0","181","4","63","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2064]DH17077","1","0","1","152","3","17","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2064]DH17077","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2065]DH17090","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2065]DH17090","1","0","1","23","33","23","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2065]DH17090","2","0","2","3","1","38","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2071]DH17049","0","0","0","49","13","31","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2071]DH17049","1","0","1","39","13","145","11"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2071]DH17049","2","0","2","151","13","78","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2075]DH17082","0","0","0","23","0","50","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2075]DH17082","1","0","1","48","10","39","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2075]DH17082","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2078]DH17085","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2078]DH17085","1","0","1","31","25","44","3"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2078]DH17085","2","0","2","38","5","70","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2080]DH17070","0","0","0","196","5","18","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2080]DH17070","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2080]DH17070","2","0","2","83","6","55","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2084]DH17045","0","0","0","1","0","8","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2084]DH17045","1","0","1","31","8","36","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2084]DH17045","2","0","2","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2085]DH17046","0","0","0","29","5","30","20"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2085]DH17046","1","0","1","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2085]DH17046","2","0","2","2","18","14","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2086]DH17044","0","0","0","0","0","0","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2086]DH17044","1","0","1","8","2","74","23"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2086]DH17044","2","0","2","165","4","19","1"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2087]DH17081","0","0","0","40","22","71","2"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2087]DH17081","1","0","1","25","2","53","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2087]DH17081","2","0","2","9","1","15","0"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2088]DH17001","0","0","0","30","10","51","4"
"2016-09-24","[100000]CNO2","[1]DHAKA-BBUB","-","[2088]DH17001","1","0","1","99","9","67","5"
