"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","Handover  Success Rate (%)-20274","Number  of Attempted handover-20275","Number  of Successful handover-20276"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2177]CT24024","0","0","0","98.61","72","71"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2177]CT24024","1","0","1","96.40","139","134"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2177]CT24024","2","0","2","97.97","148","145"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2178]CT24028","0","0","0","99.54","437","435"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2178]CT24028","1","0","1","99.33","150","149"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2178]CT24028","2","0","2","100.00","365","365"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2179]CT24120","0","0","0","100.00","340","340"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2179]CT24120","1","0","1","100.00","102","102"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2179]CT24120","2","0","2","100.00","442","442"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2180]CT24033","0","0","0","100.00","297","297"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2180]CT24033","1","0","1","92.66","286","265"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2180]CT24033","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2181]CT24055","0","0","0","99.30","142","141"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2181]CT24055","1","0","1","97.22","36","35"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2181]CT24055","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2182]CT24066","0","0","0","94.70","264","250"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2182]CT24066","1","0","1","100.00","236","236"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2182]CT24066","2","0","2","94.37","497","469"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2183]CT24074","0","0","0","100.00","57","57"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2183]CT24074","1","0","1","100.00","324","324"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2183]CT24074","2","0","2","98.12","266","261"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2184]CT24078","0","0","0","100.00","127","127"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2184]CT24078","1","0","1","98.84","86","85"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2184]CT24078","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2185]CT24087","0","0","0","97.58","331","323"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2185]CT24087","1","0","1","98.65","371","366"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2185]CT24087","2","0","2","99.56","450","448"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2207]CT24117","0","0","0","99.69","655","653"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2207]CT24117","1","0","1","98.47","785","773"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2207]CT24117","2","0","2","99.43","352","350"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2211]CT24006","0","0","0","93.81","97","91"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2211]CT24006","1","0","1","99.21","253","251"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2211]CT24006","2","0","2","100.00","120","120"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2312]CT24080","0","0","0","98.88","89","88"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2312]CT24080","1","0","1","100.00","59","59"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2312]CT24080","2","0","2","100.00","131","131"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2313]CT24064","0","0","0","99.64","1398","1393"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2313]CT24064","1","0","1","100.00","155","155"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2313]CT24064","2","0","2","99.66","1481","1476"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2314]CT24051","0","0","0","97.83","46","45"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2314]CT24051","1","0","1","96.67","60","58"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2314]CT24051","2","0","2","91.67","24","22"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2315]CT24047","0","0","0","100.00","165","165"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2315]CT24047","1","0","1","86.49","37","32"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2315]CT24047","2","0","2","93.73","399","374"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2316]CT24045","0","0","0","100.00","11","11"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2316]CT24045","1","0","1","100.00","321","321"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2316]CT24045","2","0","2","100.00","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2317]CT24089","0","0","0","99.36","157","156"
