"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2177]CT24024","0","0","0","63","8","37","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2177]CT24024","1","0","1","130","4","67","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2177]CT24024","2","0","2","140","5","41","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2178]CT24028","0","0","0","394","41","145","2"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2178]CT24028","1","0","1","149","0","95","8"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2178]CT24028","2","0","2","361","4","114","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2179]CT24120","0","0","0","327","13","130","4"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2179]CT24120","1","0","1","91","11","115","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2179]CT24120","2","0","2","436","6","211","1"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2180]CT24033","0","0","0","268","29","198","10"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2180]CT24033","1","0","1","254","11","75","8"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2180]CT24033","2","0","2","0","0","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2181]CT24055","0","0","0","134","7","103","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2181]CT24055","1","0","1","31","4","75","9"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2181]CT24055","2","0","2","0","0","0","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2182]CT24066","0","0","0","243","7","74","3"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2182]CT24066","1","0","1","218","18","92","5"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2182]CT24066","2","0","2","449","20","133","4"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2183]CT24074","0","0","0","54","3","33","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2183]CT24074","1","0","1","311","13","140","2"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2183]CT24074","2","0","2","243","18","53","3"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2184]CT24078","0","0","0","121","6","114","0"
"2016-09-24","[100001]CNO2","[2]CTG","-","[2184]CT24078","1","0","1","81","4","126","5"
