"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","Handover Success Rate (%)-N  ","Number  of Attempted handover-20275","Number  of Successful handover-20276"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2054]Test BTS_Banani(BBUB)","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","0","0","0","99.771","436","435"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","1","0","1","100.000","258","258"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","2","0","2","100.000","82","82"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","0","0","0","75.000","4","3"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","1","0","1","94.737","19","18"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","2","0","2","100.000","1","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","0","0","0","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","1","0","1","100.000","65","65"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","2","0","2","100.000","12","12"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","0","0","0","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","1","0","1","90.000","50","45"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","2","0","2","100.000","10","10"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","0","0","0","96.639","119","115"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","1","0","1","93.970","199","187"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","2","0","2","100.000","9","9"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","0","0","0","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","1","0","1","100.000","37","37"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","2","0","2","100.000","85","85"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","0","0","0","100.000","74","74"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","1","0","1","78.125","32","25"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","2","0","2","100.000","26","26"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2134]DH17104","0","0","0","100.000","47","47"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2134]DH17104","1","0","1","93.333","15","14"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2134]DH17104","2","0","2","100.000","4","4"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2137]DH17079","0","0","0","100.000","12","12"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2137]DH17079","1","0","1","100.000","5","5"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2137]DH17079","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2140]DH17103","0","0","0","100.000","58","58"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2140]DH17103","1","0","1","100.000","57","57"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2140]DH17103","2","0","2","100.000","6","6"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2148]DH17124","0","0","0","90.000","10","9"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2148]DH17124","1","0","1","27.778","36","10"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2148]DH17124","2","0","2","66.667","3","2"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2149]DH17125","0","0","0","100.000","23","23"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2149]DH17125","1","0","1","100.000","10","10"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2149]DH17125","2","0","2","100.000","14","14"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2164]DH17131","0","0","0","100.000","70","70"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2164]DH17131","1","0","1","100.000","111","111"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2164]DH17131","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2167]DH17123","0","0","0","100.000","37","37"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2167]DH17123","1","0","1","92.105","38","35"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2167]DH17123","2","0","2","100.000","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2194]DH17141","0","0","0","100.000","22","22"
