"Begin Time","SERVER","DISTRICT","GROUP","SYSTEM","CELL","CARRIER","BS","WiMAX: Integration Measurement.Number of Successful Controlled Handover","WiMAX: Integration Measurement.Number of Successful Uncontrolled Handover","WiMAX: Integration Measurement.Number of Successful Initial Network Entry DHCP","WiMAX: Integration Measurement.Number of Abnormal Releases by BS"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2054]Test BTS_Banani(BBUB)","2","0","2","0","0","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","0","0","0","432","3","32","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","1","0","1","235","23","26","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2055]DH17005","2","0","2","80","2","44","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","0","0","0","3","0","15","4"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","1","0","1","14","4","48","2"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2059]DH17030","2","0","2","0","1","30","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","0","0","0","0","0","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","1","0","1","62","3","10","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2061]DH17054","2","0","2","12","0","15","2"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","0","0","0","0","0","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","1","0","1","44","1","13","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2067]DH17143","2","0","2","6","4","69","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","0","0","0","112","3","31","2"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","1","0","1","168","19","64","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2081]DH17130","2","0","2","9","0","2","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","0","0","0","0","0","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","1","0","1","37","0","29","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2123]DH17067","2","0","2","84","1","33","2"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","0","0","0","49","25","50","3"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","1","0","1","24","1","25","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2128]DH17139","2","0","2","25","1","35","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2134]DH17104","0","0","0","37","10","41","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2134]DH17104","1","0","1","10","4","0","7"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2134]DH17104","2","0","2","0","4","25","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2137]DH17079","0","0","0","11","1","37","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2137]DH17079","1","0","1","5","0","23","2"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2137]DH17079","2","0","2","0","0","0","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2140]DH17103","0","0","0","58","0","41","1"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2140]DH17103","1","0","1","57","0","20","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2140]DH17103","2","0","2","6","0","61","4"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2148]DH17124","0","0","0","7","2","64","3"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2148]DH17124","1","0","1","7","3","68","3"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2148]DH17124","2","0","2","1","1","46","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2149]DH17125","0","0","0","23","0","21","2"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2149]DH17125","1","0","1","10","0","37","0"
"2016-09-24","[100002]CNO2","[1]DHAKA-BBUB","-","[2149]DH17125","2","0","2","13","1","46","3"
